<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2024.08.16,10:46:00,148.912,148.925,148.906,148.919,51,0,5
2024.08.16,10:47:00,148.919,148.951,148.916,148.948,39,0,5
2024.08.16,10:48:00,148.948,148.95,148.938,148.944,45,0,5
2024.08.16,10:49:00,148.945,148.964,148.925,148.925,46,0,5
2024.08.16,10:50:00,148.919,148.986,148.919,148.978,56,0,5
2024.08.16,10:51:00,148.978,148.999,148.973,148.986,45,0,5
2024.08.16,10:52:00,148.986,148.996,148.979,148.987,44,0,5
2024.08.16,10:53:00,148.985,148.985,148.964,148.977,53,0,5
2024.08.16,10:54:00,148.975,148.987,148.96,148.962,40,0,5
2024.08.16,10:55:00,148.966,148.977,148.965,148.975,35,0,5
2024.08.16,10:56:00,148.975,148.988,148.954,148.988,42,0,5
2024.08.16,10:57:00,148.998,149.006,148.984,148.986,41,0,5
2024.08.16,10:58:00,148.988,149.032,148.987,149.026,65,0,5
2024.08.16,10:59:00,149.024,149.032,149.011,149.014,52,0,5
2024.08.16,11:00:00,149.014,149.052,149.012,149.044,52,0,5
2024.08.16,11:01:00,149.038,149.039,149.012,149.019,55,0,5
2024.08.16,11:02:00,149.019,149.021,148.998,149.015,50,0,5
2024.08.16,11:03:00,149.014,149.014,148.993,149.005,32,0,5
2024.08.16,11:04:00,149.005,149.005,148.987,148.994,34,0,5
2024.08.16,11:05:00,148.994,148.994,148.964,148.965,37,0,5
2024.08.16,11:06:00,148.966,148.984,148.962,148.982,62,0,5
2024.08.16,11:07:00,148.983,148.985,148.951,148.97,66,0,5
2024.08.16,11:08:00,148.971,148.973,148.928,148.928,34,0,5
2024.08.16,11:09:00,148.928,148.946,148.916,148.923,50,0,5
2024.08.16,11:10:00,148.92,148.922,148.884,148.889,57,0,6
2024.08.16,11:11:00,148.889,148.893,148.85,148.876,67,0,6
2024.08.16,11:12:00,148.875,148.881,148.851,148.879,67,0,6
2024.08.16,11:13:00,148.879,148.88,148.856,148.878,59,0,6
2024.08.16,11:14:00,148.878,148.891,148.866,148.879,52,0,6
2024.08.16,11:15:00,148.879,148.894,148.874,148.891,49,0,6
2024.08.16,11:16:00,148.891,148.892,148.853,148.854,37,0,6
